[18:30:34] [main/INFO]: ModLauncher running: args [--username, krzychuPLzim, --version, forge-43.5.0, --gameDir, C:\Users\krzys\curseforge\minecraft\Instances\5 edycja, --assetsDir, C:\Users\krzys\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 4b03bfd287f74a7a85d11db1ed82c8c3, --accessToken, ????????, --clientId, NjI3ZDdkMWUtNTUwMi00OTg3LTg0NGEtOWFhODE5MDU3YmZh, --xuid, 2535433401709068, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.5.0, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[18:30:34] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[18:30:35] [main/INFO]: Found mod file obscure_api-15.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Oh_The_Biomes_You'll_Go-forge-1.19.2-2.0.1.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file PossessiveMask-forge-1.19.2-1.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file ProgressiveBosses-3.7.6-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file questsadditions-1.19.2-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file realmrpg_fallen_adventurers_1.0.3_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file realmrpg_pots_and_mimics_1.0.2_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file realmrpg_seadwellers_2.9.9_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file rechiseled-1.1.6-forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file rechiseledcreate-1.0.2-forge-mc1.19.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file recipeessentials-1.19.2-3.5.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file repurposed_structures_forge-6.3.29+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Rex's-AdditionalStructures-1.19.x-(v.4.0.4).jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file SereneSeasons-1.19.2-8.1.0.24.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file sophisticatedbackpacks-1.19.2-3.20.2.1035.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file sophisticatedcore-1.19.2-0.6.4.730.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file spartantoolkit-1.19.2-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file spartantwilight-1.19.2-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file SpartanWeaponry-1.19.2-3.0.7-all.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Structory_1.19.3_v1.3.1a.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Structory_Towers_1.19.3_v1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file structure_gel-1.19.2-2.7.3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file structureessentials-1.19.2-3.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file supermartijn642configlib-1.1.8-forge-mc1.19.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file supermartijn642corelib-1.1.18-forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file TerraBlender-forge-1.19.2-2.0.1.136.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file tfmg-0.9.3-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file the_knocker-1.4.0-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file The_Undergarden-1.19.2-0.8.3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Towns-and-Towers-v.1.10-_FORGE-1.19.2_.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file twilightforest-1.19.2-4.2.1518-universal.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file undergarden_delight_1.0.1_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file waystones-forge-1.19.2-11.4.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file weaponmaster_ydm-forge-1.19.2-4.2.3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file WeaponsOfMiracles-19.1.7.37.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file wits-1.1.0+1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Xaeros_Minimap_25.2.0_Forge_1.19.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file xaeros_waystones_compability-1.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file YungsApi-1.19.2-Forge-3.8.10.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file YungsBetterDesertTemples-1.19.2-Forge-2.2.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file YungsBetterDungeons-1.19.2-Forge-3.2.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
